title,Country.Name,year,status,type,target
National Energy Saving Programme,Hungary,2003,Ended,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power, Multiple RE Sources>Heating"
The Electricity Law (No. 318/2003),Romania,2003,Superseded,"Regulatory Instruments, Regulatory Instruments>Codes and standards>Sectoral standards",Multiple RE Sources
National Environmental Action Plan (NEAP),Bosnia and Herzegovina,2003,In Force,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
Renewable Energy Guarantees of Origin (REGOs),United Kingdom,2003,In Force,"Information and Education>Performance Label>Endorsement label, Regulatory Instruments>Monitoring, Regulatory Instruments>Codes and standards, Economic Instruments>Market-based instruments>GHG emissions trading",Multiple RE Sources>All
The Rural Electrification Fund,Ethiopia,2003,In Force,"Policy Support>Institutional creation, Policy Support, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources, Multiple RE Sources>Power"
Petroleum Products and Energy Act establishing National Energy Fund and Electricity Levy,Namibia,2003,In Force,"Regulatory Instruments, Regulatory Instruments>Codes and standards","Bioenergy, Wind, Geothermal, Hydropower"
Energy Grants for Residential Buildings,Finland,2003,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Multiple RE Sources
Yukon Municipal Energy Solutions Partnership,Albania,2003,In Force,Economic Instruments>Direct investment>Infrastructure investments,Multiple RE Sources
Energy Law,Montenegro,2003,In Force,"Regulatory Instruments, Economic Instruments","Multiple RE Sources, Multiple RE Sources>All, Hydropower"
Flexible depreciation,France,2003,Ended,Economic Instruments>Fiscal/financial incentives>Tax relief,Multiple RE Sources>All
National Energy Policy 2003,Malawi,2003,In Force,"Policy Support, Information and Education, Regulatory Instruments","Solar, Solar>Solar photovoltaic, Multiple RE Sources"
Environment Protection and Energy Efficiency Fund (EPEEF),Croatia,2003,In Force,"Policy Support>Strategic planning, Policy Support, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments",Multiple RE Sources
Law on Alternative Energy Sources,Ukraine,2003,In Force,Policy Support>Strategic planning,Multiple RE Sources
Energy White Paper 2003,United Kingdom,2003,Superseded,Policy Support,"Multiple RE Sources, Multiple RE Sources>All"
Energy Strategy of Russia to 2030,Russia,2003,In Force,"Information and Education>Advice/Aid in Implementation, Policy Support>Strategic planning, Research, Development and Deployment (RD&D), Regulatory Instruments",Multiple RE Sources>All
New York State Energy Plan,United States,2002; 2009,In Force,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources>Power
Renewables Obligation (RO),United Kingdom,2002 (last amended 2015),In Force,"Economic Instruments>Market-based instruments>Green certificates, Information and Education>Performance Label>Endorsement label, Economic Instruments>Fiscal/financial incentives, Policy Support>Strategic planning, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes , Regulatory Instruments>Codes and standards","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>All, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave, Solar>Solar photovoltaic, Wind, Wind>Offshore"
Solar Decathlon,United States,"2002 (biennial, last held 2013)\n",In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Research, Development and Deployment (RD&D)>Demonstration project","Solar Thermal, Multiple RE Sources>Heating, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Green Electricity Act,Austria,"2002 (amended 2006, 2007, 2008)",Superseded,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>All
Wallonia - Subsidies for Energy Efficiency and Rational Use of Energy in private enterprises (AMURE),Belgium,2002 (Updated in 2014),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Energy Policy for Uganda,Uganda,2002 (September),In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All"
Law on Energy,Lithuania,2002 (May 16th),In Force,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Policy Support>Institutional creation, Policy Support>Strategic planning",Multiple RE Sources
Energy for Rural Transformation (ERT),Uganda,2002 (July 1st),Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Market-based instruments>GHG emissions trading, Information and Education>Professional training and qualification, Policy Support>Institutional creation, Regulatory Instruments>Auditing, Regulatory Instruments>Codes and standards>Product standards, Regulatory Instruments>Monitoring","Solar Thermal, Bioenergy>Biomass for power, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar>Solar photovoltaic>Off-grid"
Feed-in Tariffs and Premiums,Slovenia,2002,In Force,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources>Power
Renewable Energy Tax Excise,Poland,2002,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources>Power, Multiple RE Sources"
Programme of Incentives for Alternative Electricity Sources - Programa de Incentivo a Fontes Alternativas de Energia Elétrica - PROINFA,Brazil,2002,Ended,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes","Wind, Bioenergy>Biomass for power, Hydropower"
KlimaAktiv: Climate Strategy 2008 - 2012,Austria,2002,Superseded,Policy Support,Multiple RE Sources>All
Renewable Energy Targets,Israel,2002,Superseded,Policy Support>Strategic planning,Multiple RE Sources>Power
Combined Heat and Power RD&D,Ireland,2002,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Multiple RE Sources>CHP
Green Certificates Scheme - Wallonia,Belgium,2002,Superseded,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Policy Support, Regulatory Instruments, Regulatory Instruments>Monitoring, Regulatory Instruments>Codes and standards",Multiple RE Sources>All
Renewable Energy Feed-in Tariffs (II),France,2002,Superseded,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Solar>Solar photovoltaic, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources, Multiple RE Sources>Power"
Subsidies for companies investing in renewable energy – Wallonia,Belgium,2002,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Solar, Wind, Multiple RE Sources, Hydropower, Bioenergy, Bioenergy>Biofuels for transport, Geothermal"
Information and advice on energy efficiency and renewable energy,Norway,2002,In Force,"Policy Support>Institutional creation, Information and Education",Multiple RE Sources>All
White Paper on Domestic Use of Natural Gas,Norway,2002,Superseded,Policy Support,"Multiple RE Sources>Power, Bioenergy>Co-firing with fossil fuels"
Support for solar - Flanders,Belgium,2002,Superseded,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
Small Distributed Power Generation Using Renewable Energy (Ministerial Regulation No. 1122 K/30/MEM/2002),Indonesia,2002,In Force,"Policy Support, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources
PV System Pilot Projects,Botswana,2002,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Solar>Solar photovoltaic
Bio-energy Capital Grants Scheme,United Kingdom,2002,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
Wind Power Production Incentive (WPPI),Canada,2002,Superseded,"Regulatory Instruments>Obligation schemes , Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Wind>Onshore
Offshore Wind Capital Grants Scheme,United Kingdom,2002,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Wind>Offshore
Bilateral Climate Action Partnerships (CAP),Australia,2002,In Force,"Voluntary Approaches>Public Voluntary Schemes, Policy Support",Multiple RE Sources>All
Ethiopian Rural Energy Development and Promotion Centre (EREDPC),Ethiopia,2002,In Force,"Research, Development and Deployment (RD&D)",Multiple RE Sources
Major PV Demonstration Programme,United Kingdom,2002,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
Biofuel Regional Feedstock Partnerships,United States,2002,Superseded,Economic Instruments,Bioenergy
Energy for Rural Transformation Program Pase II and III,Uganda,2002,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Institutional creation, Policy Support>Strategic planning","Solar Thermal, Bioenergy>Biomass for power, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Farm Security and Rural Investment Act of 2002 (Public Law 107-171),United States,2002,Superseded,Regulatory Instruments,"Bioenergy>Biofuels for transport, Bioenergy"
Renewable Portfolio Standard -- California,United States,2002,In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes","Multiple RE Sources>Power, Multiple RE Sources"
Kerala Renewable Energy Policy 2002,India,2002,In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief",Multiple RE Sources>Power
Government Assistance for Wind Power Development,India,2002,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans",Wind>Onshore
Energy Tax Overhaul,Finland,2002,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources>Power, Bioenergy, Geothermal>Heat, Geothermal>Power, Multiple RE Sources, Multiple RE Sources>CHP"
1st National Programme for Economical Energy Management and Use of Renewable and Secondary Energy Resources,Czech Republic,2002,Superseded,Policy Support,Multiple RE Sources
Tax exemptions and incentives for ethanol producers (Law 788),Colombia,2002,In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes",Multiple RE Sources
Green Certificates Scheme - Flanders,Belgium,2002,In Force,"Economic Instruments>Market-based instruments>Green certificates, Information and Education, Information and Education>Advice/Aid in Implementation, Economic Instruments>Market-based instruments, Economic Instruments",Multiple RE Sources>All
Climate Change Levy,United Kingdom,2001 (last updated 2015),In Force,"Economic Instruments>Fiscal/financial incentives>Taxes, Regulatory Instruments",Multiple RE Sources>Power
Reduced VAT for renewable energy,China,2001 (expanded 2003),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Wind, Bioenergy>Biomass for power"
Law 697 on the promotion of the efficient and rational use of energy and alternative energies,Colombia,2001 (October 3rd),In Force,Policy Support,"Multiple RE Sources, Multiple RE Sources>All"
Act No. 250/2012 Coll. on Regulation in Network Industries,Slovakia,2001 (Last amended 2007),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources>Power, Multiple RE Sources"
"Act establishing premium for electricity generated from wind, hydro, solar, biomass and biogas",Luxembourg,2001 (Dec 31st),Ended,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources>Heating, Multiple RE Sources>Power, Wind, Hydropower, Bioenergy"
Law on Energy,Mongolia,2001 (April 15th),Ended,"Policy Support, Regulatory Instruments",Multiple RE Sources
Feed-in Tariff for renewable energy,Korea,2001 (Adjusted 2008),Ended,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power, Hydropower, Ocean>Tidal, Solar>Solar photovoltaic, Multiple RE Sources"
The SwissEnergy Programme,Switzerland,2001,In Force,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation, Information and Education, Voluntary Approaches","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All"
Grant for Solar Thermal Research,Italy,2001,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Solar Thermal
Green Power Partnership,United States,2001,Superseded,"Voluntary Approaches>Unilateral Commitments (Private sector), Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Voluntary Approaches>Public Voluntary Schemes","Wind, Bioenergy>Biomass for power, Geothermal, Geothermal>Power, Multiple RE Sources>Power, Solar"
Renewable Energy Target,Australia,2001,In Force,Regulatory Instruments,Multiple RE Sources>Power
Decree No. 45/2001/ND-CP on electric power operation and use,Vietnam,2001,In Force,Regulatory Instruments,Multiple RE Sources>Power
San Francisco Solar Energy Incentive Program,United States,2001,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
Financial Incentives for Investment in Residential Renewable Generation and Residential Efficiency,Austria,2001,Superseded,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans","Bioenergy>Biomass for heat, Solar>Solar photovoltaic, Solar Thermal, Geothermal>Heat"
"Fund for Greenhouse Gas Emissions Reduction, Energy Efficiency and Sustainable Energy",Italy,2001,In Force,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Taxes",Multiple RE Sources
Utility targets for increasing energy efficiency,Italy,2001,In Force,"Economic Instruments>Market-based instruments>GHG emissions trading, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements","Multiple RE Sources>Power, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Green Certificate Scheme,Belgium,2001,Superseded,Economic Instruments>Market-based instruments>Green certificates,"Wind>Onshore, Bioenergy, Bioenergy>Biomass for power, Solar, Solar>Solar photovoltaic, Wind"
Innovation for Environmental Sustainability (IES) Fund,Singapore,2001,In Force,"Research, Development and Deployment (RD&D)",Multiple RE Sources
Energy Act (Act No. 458/2000 Coll.),Czech Republic,2001,In Force,"Regulatory Instruments, Policy Support",Multiple RE Sources>All
Building Retrofit Subsidies: PANEL programme,Czech Republic,2001,Superseded,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Loans","Multiple RE Sources>Power, Multiple RE Sources>Heating"
New Rules for Payment of Green Electricity - Adaptation of the Electricity Act Reforms,Denmark,2001,Superseded,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>Power
Replacement of wind turbines,Denmark,2001,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind>Onshore, Wind>Offshore"
Energy Management Act (Act No. 406/2000 Coll.),Czech Republic,2001,In Force,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>All
Development Strategy for the Renewable Energy Sector,Poland,2001,Superseded,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
Sustainable Technology Development Canada,Canada,2001,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources>All
Rural Electrification with Renewable Energy Programme,Chile,2001,Ended,Economic Instruments>Direct investment>Infrastructure investments,"Wind>Onshore, Hydropower, Solar>Solar photovoltaic"
Energy Efficiency and Endogenous Energies (E4) Programme,Portugal,2001,Ended,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Obligation schemes",Multiple RE Sources>All
Climate-Neutral Government Operations by 2012,Netherlands,2001,Ended,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
Energy Premium (EPR) and Energy Performance Advice (EPA),Netherlands,2001,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Information provision, Information and Education>Advice/Aid in Implementation","Multiple RE Sources>Power, Multiple RE Sources>Heating"
Campaign SOS Climat,France,2001,Ended,Information and Education>Information provision,Multiple RE Sources>All
Electricity Act 2001,Hungary,2001,Superseded,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Market-based instruments",Multiple RE Sources>Power
Regulation establishing scheme promoting rational use of energy and development of renewable energy sources,Luxembourg,2001,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief",Multiple RE Sources>Power
Environmental Impact Assessments,Hungary,2001,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>Power, Wind, Geothermal, Hydropower"
Grid interconection contract for renewable energy (Contrato de interconexión para fuente de energía renovable),Mexico,2001,In Force,Regulatory Instruments,"Wind, Hydropower, Multiple RE Sources>Power, Solar"
Government Crediting and Loan Guarantee for Energy Efficiency and Renewable Energy Investment - FOGIME,France,2001,In Force,Economic Instruments>Fiscal/financial incentives>Loans,Multiple RE Sources>All
First Phase of European Climate Change Programme (EECP),European Commission,2001,Ended,"Policy Support, Information and Education>Advice/Aid in Implementation, Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Performance Label>Endorsement label, Information and Education>Information provision, Policy Support>Institutional creation, Economic Instruments>Direct investment>Infrastructure investments, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Codes and standards, Economic Instruments>Market-based instruments>GHG emissions trading","Geothermal>Power, Geothermal>Heat"
New Energy Indicator,Japan,2001,Ended,Policy Support>Strategic planning,Multiple RE Sources
Energy Conservation Act,India,2001,In Force,Policy Support>Institutional creation,Multiple RE Sources>Power
Federal House in Order Programme,Canada,2001,Superseded,"Regulatory Instruments>Codes and standards, Economic Instruments>Direct investment>Procurement rules, Regulatory Instruments>Obligation schemes",Multiple RE Sources>All
Green Energy (Roheline Energia),Estonia,2001,Ended,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Economic Instruments>Market-based instruments>Green certificates",Wind
Zanzibar Vision 2020,United Republic of Tanzania,2000\n,In Force,"Policy Support, Policy Support>Strategic planning","Solar, Wind, Bioenergy>Biomass for heat, Bioenergy>Biomass for power"
Hydro and CHP Feed-in-Tariff,Uganda,2000 (modifeid 2010),In Force,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources>CHP, Hydropower"
Law on Electricity,Lithuania,2000 (last amended 2013),In Force,Regulatory Instruments,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
"Law on Biofuel, Biofuels for Transport and Bio-Oils (implementing EC Directive 2003/30/EC)",Lithuania,2000 (last amended 2009),Ended,Policy Support,Bioenergy>Biofuels for transport
Solar Homes and Communities Plan (formerly Photovoltaic Rebate Program),Australia,2000 (extended 2007),Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives",Solar>Solar photovoltaic
Rajasthan Policy for Promoting Generation of Electricity from Wind 2012,India,2000 (July),In Force,Policy Support>Strategic planning,Wind>Onshore
Fund for the Electrification of Non-interconnected Zones established,Colombia,2000 (Dec. 29th),In Force,Economic Instruments>Direct investment>Infrastructure investments,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Decree 2000-628 on the Letter of Energy Sector Development Policy,Burkina Faso,2000 (Dec 30th),Superseded,"Policy Support, Regulatory Instruments","Bioenergy>Biomass for heat, Bioenergy>Biomass for power"
Instrument for Structural Policies for Pre-Accession (ISPA),Hungary,2000,Ended,"Policy Support, Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources, Multiple RE Sources>All"
Energy Crops Scheme - England,United Kingdom,2000,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
Renewables Obligation Plan,United Kingdom,2000,Superseded,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes",Multiple RE Sources>All
National Strategy to Reduce GHG Emissions,Luxembourg,2000,In Force,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources, Multiple RE Sources>All"
National Plan for Biofuels and biomass,Italy,2000,Superseded,Policy Support>Strategic planning,"Bioenergy>Biomass for power, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat"
Measures for a Better Environment Package,Australia,2000,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>All
Victoria - Creation of a Sustainable Energy Authority,Australia,2000,In Force,"Policy Support>Institutional creation, Policy Support",Multiple RE Sources
Combined Heat and Power (CHP),Austria,2000,Superseded,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments, Regulatory Instruments>Obligation schemes","Bioenergy>Co-firing with fossil fuels, Geothermal>Heat"
Renewable Energy Sources Act (Erneuerbare-Energien-Gesetz EEG),Germany,2000,Superseded,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes","Multiple RE Sources>All, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>CHP, Solar>Solar photovoltaic, Wind>Onshore, Wind, Wind>Offshore"
Energy Efficiency and Conservation Act 2000,New Zealand,2000,In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation",Multiple RE Sources>All
Biomass Program,United States,2000,In Force,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development",Bioenergy
Biomass Research and Development Act,United States,2000,Ended,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Research, Development and Deployment (RD&D), Regulatory Instruments",Bioenergy
Demand Side Management to Reduce GHG Emissions - ENEL Voluntary Agreement,Italy,2000,Ended,"Voluntary Approaches, Information and Education>Information provision, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development, Regulatory Instruments",Multiple RE Sources>All
Renewable Electricity support - PV Roofs Programme,Italy,2000,Ended,Regulatory Instruments,Solar>Solar photovoltaic
Support for Small Scale Electricity Production,Sweden,2000,Superseded,Economic Instruments>Fiscal/financial incentives,Multiple RE Sources>Power
Mineral oil tax,Norway,2000,In Force,Economic Instruments>Fiscal/financial incentives>Taxes,Bioenergy>Co-firing with fossil fuels
Electricity Law 2000,France,2000,In Force,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources>Power
Subsidy Scheme - Energy Use and Production,Norway,2000,Superseded,Economic Instruments>Fiscal/financial incentives,Multiple RE Sources>All
Survey and Pre-feasibility Assistance: Disposition Général des Aides à la Décision,France,2000,In Force,"Regulatory Instruments>Monitoring, Economic Instruments>Fiscal/financial incentives, Policy Support, Information and Education>Advice/Aid in Implementation, Regulatory Instruments>Auditing",Multiple RE Sources>All
Queensland Cleaner Energy Strategy,Australia,2000,Superseded,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Economic Instruments>Direct investment>Procurement rules, Research, Development and Deployment (RD&D)",Multiple RE Sources
Renewable Energy Action Agenda,Australia,2000,Ended,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support>Strategic planning",Multiple RE Sources>All
"Law 19,657 on Geothermal Energy Concessions",Chile,2000,In Force,Regulatory Instruments>Codes and standards,Geothermal>Power
Eco-Fund,Slovenia,2000,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme",Multiple RE Sources
Green Municipal Fund,Canada,2000,In Force,"Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Loans",Multiple RE Sources>All
Greenhouse Gas Abatement Programme,Australia,2000,Ended,"Regulatory Instruments>Monitoring, Economic Instruments>Fiscal/financial incentives",Multiple RE Sources>All
Access to the Grid (Renewables and CHP),Belgium,2000,In Force,Regulatory Instruments,"Multiple RE Sources>Power, Multiple RE Sources>CHP"
Széchenyi Plan,Hungary,2000,Superseded,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources
Renewable Remote Power Generation Programme,Australia,2000,Ended,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources>All
White Paper on Energy Policy,Norway,1999 (last updated 2016),Superseded,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources>All, Multiple RE Sources"
National Strategy for GHG emissions,Italy,1999 (March 5th),In Force,"Policy Support>Strategic planning, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Loans",Multiple RE Sources
Tax Relief Extension Act of 1999,United States,1999,Ended,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources>Power, Multiple RE Sources"
Law 99-09 on the Management of Energy,Algeria,1999,In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation",Multiple RE Sources
Feed-in Tariffs,Greece,1999,Superseded,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources>Power
Hungarian Energy Policy Principles and the Business Model of the Energy Sector,Hungary,1999,Ended,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All"
Proyecto de Energia Renovable en el Mercado Electrico Rural (PERMER),Argentina,1999,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources>Power, Multiple RE Sources"
Subsidies for wind turbines,Denmark,1999,Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Wind
Interministerial Commission on Climate Change (CIMGC),Brazil,1999,In Force,"Information and Education>Advice/Aid in Implementation, Policy Support>Institutional creation, Policy Support>Strategic planning, Policy Support, Research, Development and Deployment (RD&D)",Multiple RE Sources>All
Energy Conservation and Energy Efficiency Improvement Action Programme,Hungary,1999,Ended,"Policy Support>Strategic planning, Information and Education, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources, Multiple RE Sources>All"
Energy-Wise Councils Partnership,New Zealand,1999,Superseded,"Voluntary Approaches>Public Voluntary Schemes, Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Institutional creation",Multiple RE Sources
